C
B0#Pd,B1#Pd,B2#Pd,B0#Qd,B1#Qd,B2#Qd,B0#V,B1#V,B2#V,B0#Pg,B1#Pg,B0#Qg,B1#Qg,totPd,totQd,totPg,totQg
Time,Item,Value
,D,15.044272
24810,2,4.519414
,D,15.043414
24820,2,4.518563
,D,15.042563
24830,2,4.517719
,D,15.041719
24840,2,4.516883
,D,15.040883
24850,2,4.516055
,D,15.040055
24860,2,4.515234
,D,15.039234
24870,2,4.51442
,D,15.03842
24880,2,4.513613
,D,15.037613
24890,2,4.512814
,D,15.036814
24900,2,4.512022
,D,15.036022
24910,2,4.511237
,7,9.996923
,8,9.99645
,9,9.066001
,A,9.877927
,D,15.035237
,F,18.943929
24920,2,4.510459
,D,15.034459
24930,2,4.509688
,D,15.033688
24940,2,4.508924
,D,15.032924
24950,2,4.508167
,D,15.032167
24960,2,4.561416
,D,15.085416
24970,2,4.560673
,D,15.084673
24980,2,4.559935
,D,15.083935
24990,2,4.559205
,D,15.083205
25000,1,10.521731
,2,4.558481
,D,15.080212
25010,1,10.519065
,2,4.557763
,D,15.076828
25020,1,10.516439
,2,4.557052
,D,15.073491
25030,1,10.513853
,2,4.556347
,D,15.070199
25040,1,10.511305
,2,4.555648
,D,15.066953
25050,1,10.508795
,2,4.554956
,D,15.063751
25060,1,10.506323
,2,4.55427
,D,15.060593
25070,1,10.503889
,2,4.553589
,D,15.057478
25080,1,10.50149
,2,4.552915
,D,15.054406
25090,1,10.499128
,2,4.552247
,D,15.051375
25100,1,10.496801
,2,4.549101
,D,15.045902
25110,1,10.494509
,2,4.545782
,D,15.040291
25120,1,10.492251
,2,4.542509
,D,15.03476
25130,1,10.490027
,2,4.719281
,D,15.209308
25140,1,10.487837
,2,4.715773
,D,15.203611
25150,1,10.48568
,2,4.697725
,D,15.183404
25160,1,10.483554
,2,4.736682
,D,15.220236
25170,1,10.481461
,2,4.732926
,D,15.214387
25180,1,10.479399
,2,4.72922
,D,15.208619
25190,1,10.477368
,2,4.725562
,D,15.202931
25200,1,10.475368
,2,4.721953
,D,15.197321
25210,1,10.473397
,2,4.718391
,7,9.997019
,8,9.996324
,9,9.155918
,A,9.949403
,D,15.191788
,F,19.105321
25220,1,10.471456
,2,4.714876
,D,15.186332
25230,1,10.469544
