C
G0#P,G1#P,G0#Q,G1#Q,G0#costp,G1#costp,totP,totQ,totC
Time,Item,Value
53110,0,7.8322
,1,6.249765
,2,0.701866
,3,3.203123
,4,125041.372078
,5,100163.814758
,6,14.081965
,8,225205.186836
53410,0,7.816276
,1,6.237031
,2,0.70184
,3,3.203143
,4,124538.23739
,5,99761.207476
,6,14.053308
,7,3.904983
,8,224299.444866
53710,0,7.810158
,1,6.232138
,2,0.70183
,3,3.203151
,4,124345.181106
,5,99606.725326
,6,14.042296
,7,3.90498
,8,223951.906432
54010,0,7.835367
,1,6.252298
,2,0.701872
,3,3.203119
,4,125141.576765
,5,100244.002274
,6,14.087666
,7,3.90499
,8,225385.579039
54310,0,7.8316
,1,6.249285
,2,0.701865
,3,3.203124
,4,125022.403939
,5,100148.637083
,6,14.080886
,7,3.904989
,8,225171.041022
54610,0,7.817871
,1,6.238307
,2,0.701842
,3,3.203141
,4,124588.584923
,5,99801.495334
,6,14.056178
,7,3.904983
,8,224390.080256
54910,4,124588.58531
,5,99801.494957
,8,224390.080267
55210,4,124588.584849
,5,99801.495389
,8,224390.080238
55510,4,124588.584913
,5,99801.495339
,8,224390.080252
55810,4,124588.584867
,5,99801.495367
,8,224390.080234
56110,4,124588.584804
,5,99801.495475
,8,224390.080279
56410,4,124588.584999
,5,99801.495278
,8,224390.080277
56710,0,7.902903
,1,6.306304
,2,0.701987
,3,3.203034
,4,127287.630163
,5,101961.202021
,6,14.209207
,7,3.905021
,8,229248.832184
57010,4,127287.630147
,5,101961.202062
,8,229248.832209
57310,4,127287.630164
,5,101961.202041
,8,229248.832205
57610,4,127287.630143
,5,101961.202073
,8,229248.832216
57910,4,127287.630119
,5,101961.202064
,8,229248.832183
58210,0,7.902861
,1,6.30627
,4,127286.282756
,5,101960.124038
,6,14.209131
,8,229246.406794
58510,0,7.928702
,1,6.326933
,2,0.702032
,3,3.203002
,4,128112.253624
,5,102620.979782
,6,14.255635
,7,3.905034
,8,230733.233405
58810,0,7.915742
,1,6.316569
,2,0.702009
,3,3.203018
,4,127697.65369
,5,102289.238658
,6,14.232311
,7,3.905027
,8,229986.892348
59110,0,7.902283
,1,6.305808
,2,0.701986
,3,3.203035
,4,127267.839628
,5,101945.3691
,6,14.208091
,7,3.905021
,8,229213.208729
59410,0,7.889255
,1,6.295391
,2,0.701963
,3,3.203051
,4,126852.471003
,5,101613.018773
,6,14.184646
,7,3.905014
,8,228465.489776
59710,0,7.858855
,1,6.271081
,2,0.701911
,3,3.203089
,4,125885.862629
,5,100839.572467
,6,14.129936
,7,3.905001
,8,226725.435095
60010,0,7.852286
,1,6.265826
,2,0.7019
,3,3.203098
,4,125677.485114
,5,100672.759808
,6,14.118112
,7,3.904998
,8,226350.244922
60310,0,7.836282
,1,6.253029
,2,0.701873
,3,3.203118
,4,125170.506704
,5,100267.153621
,6,14.089311
,7,3.904991
,8,225437.660325
60610,0,7.833125
,1,6.250505
,2,0.701868
,3,3.203122
,4,125070.636885
,5,100187.233059
,6,14.08363
,7,3.90499
,8,225257.869944
60910,0,7.814704
,1,6.235774
,2,0.701837
,3,3.203145
,4,124488.604934
,5,99721.491585
,6,14.050478
,7,3.904982
,8,224210.096519
61210,0,7.808924
,1,6.231152
,2,0.701827
,3,3.203152
,4,124306.264241
,5,99575.585365
,6,14.040076
,7,3.90498
,8,223881.849606
61510,0,7.804389
,1,6.227525
,2,0.70182
,3,3.203158
,4,124163.278518
,5,99461.171138
,6,14.031913
,7,3.904978
,8,223624.449655
61810,0,7.80083
,1,6.224679
,2,0.701814
,3,3.203163
,4,124051.139347
,5,99371.437693
,6,14.025509
,7,3.904977
,8,223422.57704
62110,0,7.787861
,1,6.214308
,2,0.701793
,3,3.203179
,4,123642.90629
,5,99044.772984
,6,14.002168
,7,3.904972
,8,222687.679274
62410,4,123642.906388
,5,99044.772918
,8,222687.679305
62710,4,123642.90633
,5,99044.772937
,8,222687.679267
63010,4,123642.906213
,5,99044.773103
,8,222687.679316
63310,4,123642.906321
,5,99044.772916
,8,222687.679237
63610,4,123642.906252
,5,99044.773031
,8,222687.679283
63910,4,123642.906281
,5,99044.772935
,8,222687.679216
64210,4,123642.90636
,5,99044.772919
,8,222687.679279
64510,4,123642.906377
,5,99044.772895
,8,222687.679272
64810,4,123642.906376
,5,99044.772869
,8,222687.679245
65110,4,123642.906321
,5,99044.772949
,8,222687.67927
65410,4,123642.906277
,5,99044.772956
,8,222687.679233
65710,4,123642.906258
,5,99044.773026
,8,222687.679285
66010,4,123642.906252
,5,99044.772991
,8,222687.679243
66310,4,123642.906349
,5,99044.772945
,8,222687.679294
66610,4,123642.906271
,5,99044.772985
,8,222687.679257
66910,4,123642.906347
,5,99044.772934
,8,222687.679281
67210,0,7.817871
,1,6.238307
,2,0.701842
,3,3.203141
,4,124588.58498
,5,99801.495254
,6,14.056178
,7,3.904983
,8,224390.080234
67510,4,124588.585078
,5,99801.495127
,8,224390.080206
67810,4,124588.585204
,5,99801.495076
,8,224390.08028
68110,4,124588.585025
,5,99801.495196
,8,224390.080222
68410,4,124588.584811
,5,99801.495432
,8,224390.080243
68710,4,124588.585024
,5,99801.495201
,8,224390.080225
69010,0,7.847883
,1,6.262305
,2,0.701893
,3,3.203103
,4,125537.897115
,5,100561.077166
,6,14.110188
,7,3.904996
,8,226098.97428
69310,4,125537.89715
,5,100561.077194
,8,226098.974344
69610,4,125537.897131
,5,100561.077138
,8,226098.974269
69910,4,125537.897104
,5,100561.077195
,8,226098.974299
70210,4,125537.897193
,5,100561.077108
,8,226098.9743
70510,0,7.847432
,1,6.261944
,2,0.701892
,4,125523.592198
,5,100549.6321
,6,14.109375
,8,226073.224298
70810,0,7.843317
,1,6.258655
,2,0.701885
,3,3.203109
,4,125393.224611
,5,100445.356079
,6,14.101971
,7,3.904994
,8,225838.58069
71110,0,7.839775
,1,6.255823
,2,0.701879
,3,3.203113
,4,125281.071508
,5,100355.620314
,6,14.095597
,7,3.904992
,8,225636.691821
71410,0,7.836726
,1,6.253385
,2,0.701874
,3,3.203117
,4,125184.569929
,5,100278.407015
,6,14.090111
